video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
YXKuZg5p7d4,255820,1,0,2,2
_l6TDZoHEwI,431326,1,0,2,2
aABK4juFds0,296607,1,0,2,2
amCmQUm4lNA,198571,1,0,2,2
d33-cstavRg,542413,1,0,2,2
dDr8pOIsk_0,366293,1,0,2,2
fOvv34wdxrY,343037,1,0,2,2
gLNeHG2cgZA,591396,1,0,2,2
jHSa7SwQNXg,341051,1,0,2,2
jZOFjJLhkHM,501211,1,0,2,2
l6_Y2njj_20,250804,1,0,2,2
nO1m624DPQs,260126,1,0,2,2
ngiyQl32V9Y,474264,1,0,2,2
oeKDEfx9gPc,331504,1,0,2,2
pfAu4416bDM,216485,1,0,2,2
tJqWvI2dXAM,323177,1,0,2,2
xFrh0KQcHXQ,529448,1,0,2,2
-_4mP-Dejic,360097,1,0,2,2
-l-Ac36dAW0,202592,1,0,2,2
2ZVhYp4YDKg,294430,1,0,2,2
3fDebPIYln0,276110,1,0,2,2
3yv9kKNO5KA,275377,1,0,2,2
6vhleFFPu_A,306215,1,0,2,2
7sQqukMad7c,426363,1,0,2,2
8XQW_8xD8xc,570832,1,0,2,2
8Z4nB-d7fOc,365314,1,0,2,2
9EHDXxahx-k,243661,1,0,2,2
9n7RWYcqWj4,474794,1,0,2,2
AImW58WFfUk,312199,1,0,2,2
DdnCqmlHjU0,198320,1,0,2,2
EQfm-Qqy-wU,327187,1,0,2,2
H6Ak9soMtmE,500235,1,0,2,2
H996JpiN1qE,427338,1,0,2,2
I6J5AQMu5FI,503115,1,0,2,2
JBgromlMoYw,201046,1,0,2,2
LykotTtdTSQ,211538,1,0,2,2
NLn3ijLhSS0,583647,1,0,2,2
OSgMu00U0cE,236934,1,0,2,2
OU1t4v7heo0,230743,1,0,2,2
PC_tgI7Tf8E,428069,1,0,2,2
PokpuVY3cs8,227125,1,0,2,2
RgcnpIi-l-c,297918,1,0,2,2
T2fevtqAzIg,456054,1,0,2,2
TORWL3Z-wwA,251667,1,0,2,2
UJV6eO91Vlk,429742,1,0,2,2
UiSNgeYoxWA,396842,1,0,2,2
VP_jHFLdkrA,581399,1,0,2,2
VjeyhzPKhPE,279995,1,0,2,2
Vl4FotUbbBA,291256,1,0,2,2
Vrb29SzsdEY,308054,1,0,2,2
WsMgusfPQ8c,511367,1,0,2,2
Y9-5mXxWFOg,416648,1,0,2,2
_lRZW0Q-nbU,495671,1,0,2,2
a0uhYwUVt1Y,581246,1,0,2,2
aBhX6gY3PAA,392526,1,0,2,2
eJwVzr8XvCk,471532,1,0,2,2
f66kLsPv1oc,220089,1,0,2,2
heID5Mof_Tw,356117,1,0,2,2
ht-zxQmo6hg,557990,1,0,2,2
jFfVwajAI-0,365561,1,0,2,2
jZeYNCkJrZE,467220,1,0,2,2
kB6M0tEIGGo,323655,1,0,2,2
lZGr1Ejh9mw,291680,1,0,2,2
mZcpgx-HrkQ,344721,1,0,2,2
nBlr2WcdPWs,429330,1,0,2,2
nT8bfp9RMuE,479569,1,0,2,2
tfM1UL0f48U,200255,1,0,2,2
uBJE3zzPHOU,583680,1,0,2,2
uPFnCfVqRHI,264794,1,0,2,2
wFZIZ_NDijY,287417,1,0,2,2
wNAWSV4ceBI,258740,1,0,2,2
y4584THrw5M,361354,1,0,2,2
-WMWqd7wv2k,277098,1,0,2,2
0A7q1a_Jxbc,586255,1,0,2,2
3azG7cL1gw0,338987,1,0,2,2
8mU1bgwFxQo,590413,1,0,2,2
8vwpg3ZqmsU,374646,1,0,2,2
CioCBlV_Me4,248877,1,0,2,2
DvRtrDdF3rI,283993,1,0,2,2
EIVvUHKrIis,271381,1,0,2,2
EYXQufULCEQ,588573,1,0,2,2
EiophrxseJU,260365,1,0,2,2
HRfS8UV4ua4,318897,1,0,2,2
KX997Kq9KYk,442674,1,0,2,2
KlYSgJppd3U,199820,1,0,2,2
L-pQfL0v92U,288581,1,0,2,2
MOjU7gDQ3mA,578287,1,0,2,2
QeqeaP3EJwM,466578,1,0,2,2
RPEntBOmgi4,222180,1,0,2,2
SoJRBZWh3XM,244506,1,0,2,2
UHdhewYzqv4,366782,1,0,2,2
WN-nM5g22Rg,201856,1,0,2,2
b8xQY9-Ze-Y,349963,1,0,2,2
cn4ZOkG_Zak,467694,1,0,2,2
